rho,b,mean_velocity
0.11560693641618497,0.0,1.246980289073929
0.11560693641618497,0.56,1.279131454537342
0.11560693641618497,1.06,1.1836587787110966
0.2890173410404624,0.0,1.208503115774812
0.2890173410404624,0.56,1.146697850356851
0.2890173410404624,1.06,1.1262987461483813
0.4624277456647399,0.0,1.144520679535404
0.4624277456647399,0.56,1.2139350258592863
0.4624277456647399,1.06,1.1348521050304587
0.6358381502890174,0.0,1.2093469244202544
0.6358381502890174,0.56,1.166650585211216
0.6358381502890174,1.06,0.6899980543497638
0.8092485549132947,0.0,1.113076231991387
0.8092485549132947,0.56,0.9445145019267682
0.8092485549132947,1.06,0.458806510804254
0.9826589595375722,0.0,1.124621979305825
0.9826589595375722,0.56,0.6561249545919287
0.9826589595375722,1.06,0.3330514852394811
1.1560693641618496,0.0,1.0793350193721338
1.1560693641618496,0.56,0.4847873975196018
1.1560693641618496,1.06,0.2506301802806907
1.329479768786127,0.0,1.1341813246922798
1.329479768786127,0.56,0.3682615235678137
1.329479768786127,1.06,0.1920673446576013
1.445086705202312,0.0,1.0960077046486805
1.445086705202312,0.56,0.3089446742222277
1.445086705202312,1.06,0.16129842348901027
1.6184971098265895,0.0,1.0283262309240122
1.6184971098265895,0.56,0.2372282778778147
1.6184971098265895,1.06,0.12427804003563755
1.791907514450867,0.0,0.9393778047194916
1.791907514450867,0.56,0.18055392061397108
1.791907514450867,1.06,0.09471018315293446
1.9653179190751444,0.0,0.8326096319054392
1.9653179190751444,0.56,0.1346615043290708
1.9653179190751444,1.06,0.07069200029109995
2.138728323699422,0.0,0.7301681208440175
2.138728323699422,0.56,0.09670934345258807
2.138728323699422,1.06,0.05075127170577918
2.312138728323699,0.0,0.6052718888743331
2.312138728323699,0.56,0.06475731704908043
2.312138728323699,1.06,0.03392815804756428
2.485549132947977,0.0,0.4897304287415421
2.485549132947977,0.56,0.03745682119180892
2.485549132947977,1.06,0.01953982866193357
